日期,品种,标的,多空,数量,可用数量,收盘价/结算价,市值/价值,盈亏/逐笔浮盈,开仓均价,持仓均价,保证金,当日盈亏,今手数,仓位占比
2014-02-26,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,6231.25份,6231.2464份,0.749,4669.7,-160.85,0.775,-,0,-124,0份,1.87%
2014-02-26,,Cash,,,,,227274.99,,,,,,
2014-02-27,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,8878.3份,8878.2955份,0.751,6666.71,-270.83,0.781,-,0,17.76,1314.8245份,2.68%
2014-02-27,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,10155.7份,10155.6959份,0.660,6702.76,-280.32,0.688,-,0,10.16,1491.0769份,2.69%
2014-02-27,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,7184.36份,7184.3648份,0.952,6839.52,-129.22,0.970,-,0,28.74,1036.572份,2.74%
2014-02-27,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,7446.1份,7446.1042份,0.754,5610.64,-130.33,0.771,-,0,30.53,1214.8578份,2.25%
2014-02-27,,Cash,,,,,223369.69,,,,,,
2014-02-28,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,8878.3份,8878.2955份,0.750,6655.17,-282.37,0.781,-,0,-11.54,0份,2.67%
2014-02-28,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,10155.7份,10155.6959份,0.663,6733.23,-249.85,0.688,-,0,30.47,0份,2.7%
2014-02-28,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,7184.36份,7184.3648份,0.951,6832.33,-136.4,0.970,-,0,-7.18,0份,2.74%
2014-02-28,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,7446.1份,7446.1042份,0.744,5539.9,-201.06,0.771,-,0,-70.74,0份,2.22%
2014-02-28,,Cash,,,,,223369.69,,,,,,
2014-03-03,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,8878.3份,8878.2955份,0.754,6694.23,-243.3,0.781,-,0,39.06,0份,2.68%
2014-03-03,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,10155.7份,10155.6959份,0.665,6753.54,-229.54,0.688,-,0,20.31,0份,2.71%
2014-03-03,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,7184.36份,7184.3648份,0.957,6875.44,-93.29,0.970,-,0,43.11,0份,2.76%
2014-03-03,场外基金,嘉实深证基本面120交易型开放式指数证券投资基金联接基金A类(070023.OF),多,7446.1份,7446.1042份,0.757,5638.19,-102.78,0.771,-,0,98.29,0份,2.26%
2014-03-03,,Cash,,,,,223369.69,,,,,,
2014-03-04,场外基金,兴全沪深300指数增强型证券投资基金(LOF)(163407.OF),多,8878.3份,8878.2955份,0.757,6724.42,-213.12,0.781,-,0,30.19,0份,2.7%
2014-03-04,场外基金,银河沪深300价值指数证券投资基金(519671.OF),多,10155.7份,10155.6959份,0.666,6763.69,-219.38,0.688,-,0,10.16,0份,2.71%
2014-03-04,场外基金,富国中证红利指数增强型证券投资基金(100032.OF),多,7184.36份,7184.3648份,0.968,6954.47,-14.27,0.970,-,0,79.03,0份,2.79%
